                                                                                                                                               Solvent                                        CAS_solvent                                                                                       Family_solvent                                                                                                                                              Reactant1                                                                                            Family_R1                                                                                                                                              Reactant2                                                                                            Family_R2                                                                                                                                       Transition-State                                                                                            Family_TS                           T[K]                         P[bar]         DGsolv_exp_1[kcal/mol]        DGsolv_calc_1[kcal/mol]         DGsolv_exp_2[kcal/mol]        DGsolv_calc_2[kcal/mol]        DGsolv_exp_TS[kcal/mol]       DGsolv_calc_TS[kcal/mol]          DDGsolv_exp[kcal/mol]         DDGsolv_calc[kcal/mol]
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                              (RP-1)methylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS3                                                                               ROORp-Transition-state                            298                              0                       -1.66588                       -2.25254                       -3.30689                       -3.25209                       -5.14570                       -5.36806                       -0.17293                        0.13657
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                              (RP-1)methylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS3                                                                               ROORp-Transition-state                            298                              0                       -2.31870                       -2.64827                       -3.11236                       -3.10690                       -5.46791                       -5.59336                       -0.03685                        0.16181
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                              (RP-1)methylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS3                                                                               ROORp-Transition-state                            298                              0                       -2.14696                       -2.46556                       -2.66687                       -2.66816                       -5.12364                       -5.29545                       -0.30981                       -0.16174
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                              (RP-1)methylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS4                                                                               ROORp-Transition-state                            298                              0                       -2.37309                       -2.68346                       -2.60223                       -2.69347                       -5.26327                       -5.36461                       -0.28795                        0.01231
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                              (RP-1)methylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS4                                                                               ROORp-Transition-state                            298                              0                       -1.36173                       -1.78813                       -3.47204                       -3.13380                       -4.98079                       -4.88868                       -0.14702                        0.03325
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                              (RP-1)methylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS4                                                                               ROORp-Transition-state                            298                              0                       -2.92574                       -3.40400                       -3.20555                       -3.18670                       -6.61672                       -6.84413                       -0.48543                       -0.25343
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                              (RP-1)methylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS4                                                                               ROORp-Transition-state                            298                              0                       -2.89597                       -3.05802                       -2.82522                       -2.88717                       -5.70828                       -5.60737                        0.01291                        0.33782
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                              (RP-1)methylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS4                                                                               ROORp-Transition-state                            298                              0                       -2.82325                       -2.90256                       -1.85507                       -2.05865                       -5.02174                       -4.91926                       -0.34342                        0.04195
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                              (RP-1)methylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS4                                                                               ROORp-Transition-state                            298                              0                       -2.13185                       -2.71225                       -3.30689                       -3.25209                       -5.47986                       -5.69251                       -0.04112                        0.27183
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                              (RP-1)methylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS4                                                                               ROORp-Transition-state                            298                              0                       -2.87454                       -3.13818                       -3.11236                       -3.10690                       -5.89523                       -5.95037                        0.09167                        0.29471
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                              (RP-1)methylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS4                                                                               ROORp-Transition-state                            298                              0                       -2.69154                       -2.96007                       -2.66687                       -2.66816                       -5.52515                       -5.67313                       -0.16674                       -0.04490
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS5                                                                               ROORp-Transition-state                            298                              0                       -0.66988                       -0.68648                       -3.26924                       -3.33143                       -4.75706                       -4.69071                       -0.81794                       -0.67280
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS5                                                                               ROORp-Transition-state                            298                              0                       -0.13880                       -0.14687                       -3.94100                       -3.54215                       -4.74698                       -4.39008                       -0.66718                       -0.70106
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS5                                                                               ROORp-Transition-state                            298                              0                       -0.95418                       -1.13421                       -4.12016                       -4.07008                       -6.00271                       -6.07740                       -0.92837                       -0.87311
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS5                                                                               ROORp-Transition-state                            298                              0                       -0.97059                       -1.13187                       -3.55017                       -3.53550                       -4.89525                       -4.85396                       -0.37449                       -0.18658
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS5                                                                               ROORp-Transition-state                            298                              0                       -0.87709                       -1.00154                       -2.65963                       -2.79724                       -4.17848                       -4.20575                       -0.64176                       -0.40697
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS5                                                                               ROORp-Transition-state                            298                              0                       -0.57457                       -0.82626                       -3.88149                       -3.81634                       -4.96647                       -4.98152                       -0.51041                       -0.33892
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS5                                                                               ROORp-Transition-state                            298                              0                       -0.98494                       -1.09881                       -3.80397                       -3.77999                       -5.11555                       -5.13149                       -0.32664                       -0.25269
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS5                                                                               ROORp-Transition-state                            298                              0                       -0.80865                       -0.93667                       -3.51097                       -3.41356                       -4.78636                       -4.92400                       -0.46674                       -0.57378
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS6                                                                               ROORp-Transition-state                            298                              0                       -1.31324                       -1.41400                       -3.26924                       -3.33143                       -5.28867                       -5.34337                       -0.70619                       -0.59794
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS6                                                                               ROORp-Transition-state                            298                              0                       -0.59475                       -0.70272                       -3.94100                       -3.54215                       -5.08320                       -4.86774                       -0.54745                       -0.62287
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS6                                                                               ROORp-Transition-state                            298                              0                       -1.70274                       -1.94715                       -4.12016                       -4.07008                       -6.66141                       -6.82938                       -0.83851                       -0.81215
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS6                                                                               ROORp-Transition-state                            298                              0                       -1.69875                       -1.89109                       -3.55017                       -3.53550                       -5.53151                       -5.54122                       -0.28259                       -0.11463
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS6                                                                               ROORp-Transition-state                            298                              0                       -1.62258                       -1.78373                       -2.65963                       -2.79724                       -4.83951                       -4.90736                       -0.55730                       -0.32638
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS6                                                                               ROORp-Transition-state                            298                              0                       -1.15528                       -1.53548                       -3.88149                       -3.81634                       -5.44020                       -5.61701                       -0.40343                       -0.26520
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS6                                                                               ROORp-Transition-state                            298                              0                       -1.69800                       -1.89631                       -3.80397                       -3.77999                       -5.73276                       -5.85616                       -0.23079                       -0.17986
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS6                                                                               ROORp-Transition-state                            298                              0                       -1.52956                       -1.72423                       -3.51097                       -3.41356                       -5.41102                       -5.63388                       -0.37049                       -0.49610
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS7                                                                               ROORp-Transition-state                            298                              0                       -1.87148                       -2.18136                       -3.26924                       -3.33143                       -5.59979                       -5.65976                       -0.45907                       -0.14696
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS7                                                                               ROORp-Transition-state                            298                              0                       -0.99400                       -1.37677                       -3.94100                       -3.54215                       -5.24738                       -5.04053                       -0.31238                       -0.12160
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS7                                                                               ROORp-Transition-state                            298                              0                       -2.34821                       -2.80383                       -4.12016                       -4.07008                       -7.08101                       -7.22209                       -0.61264                       -0.34818
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS7                                                                               ROORp-Transition-state                            298                              0                       -2.33144                       -2.60003                       -3.55017                       -3.53550                       -5.98068                       -5.92365                       -0.09907                        0.21188
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS7                                                                               ROORp-Transition-state                            298                              0                       -2.26128                       -2.45406                       -2.65963                       -2.79724                       -5.31992                       -5.28101                       -0.39901                       -0.02971
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORp_TS7                                                                               ROORp-Transition-state                            298                              0                       -1.66588                       -2.25254                       -3.88149                       -3.81634                       -5.74284                       -5.94432                       -0.19547                        0.12456
